调节前,调节后
3.942328725,6.315592626
3.736022697,6.435127122
3.531672645,6.540552197
3.330164146,6.63110592
3.132312644,6.706127065
2.938859544,6.765063145
2.750469421,6.807477195
2.567728345,6.83305316
2.391143243,6.841599817
2.221142261,6.83305316
2.058076061,6.807477195
1.902219944,6.765063145
1.753776733,6.706127065
1.612880315,6.63110592
1.479599726,6.540552197
1.353943704,6.435127122
1.235865576,6.315592626
1.125268412,6.182802179
1.022010326,6.037690647
0.925909849,5.881263358
0.836751284,5.714584527
0.754289974,5.538765244
0.678257409,5.354951226
0.608366122,5.164310484
0.544314321,4.968021119
0.485790215,4.767259424
0.432476018,4.563188428
0.384051583,4.356947057
0.432476018,4.149640051
0.485790215,3.942328725
0.544314321,3.736022697
0.608366122,3.531672645
0.678257409,3.330164146
0.754289974,3.132312644
0.836751284,2.938859544
0.925909849,2.750469421
1.022010326,2.567728345
1.125268412,2.391143243
1.235865576,2.221142261
1.353943704,2.058076061
1.479599726,1.902219944
1.612880315,1.753776733
1.753776733,1.612880315
1.902219944,1.479599726
2.058076061,1.353943704
2.221142261,1.235865576
2.391143243,1.125268412
2.567728345,1.022010326
2.750469421,0.925909849
2.938859544,0.836751284
3.132312644,0.754289974
3.330164146,0.678257409
3.531672645,0.608366122
3.736022697,0.544314321
3.942328725,0.485790215
4.149640051,0.432476018
4.356947057,0.384051583
4.563188428,0.432476018
4.767259424,0.485790215
4.968021119,0.544314321
5.164310484,0.608366122
5.354951226,0.678257409
5.538765244,0.754289974
5.714584527,0.836751284
5.881263358,0.925909849
6.037690647,1.022010326
6.182802179,1.125268412
6.315592626,1.235865576
6.435127122,1.353943704
6.540552197,1.479599726
6.63110592,1.612880315
6.706127065,1.753776733
6.765063145,1.902219944
6.807477195,2.058076061
6.83305316,2.221142261
6.841599817,2.391143243
6.83305316,2.567728345
6.807477195,2.750469421
6.765063145,2.938859544
6.706127065,3.132312644
6.63110592,3.330164146
6.540552197,3.531672645
6.435127122,3.736022697
6.315592626,3.942328725
6.182802179,4.149640051
6.037690647,4.356947057
5.881263358,4.563188428
5.714584527,4.767259424
5.538765244,4.968021119
5.354951226,5.164310484
5.164310484,5.354951226
4.968021119,5.538765244
4.767259424,5.714584527
4.563188428,5.881263358
4.356947057,6.037690647
4.149640051,6.182802179
